Entropy,Size,Label
7.805789294862395,84042,2
7.945110300924094,1363514,2
7.929891685038073,15376695,2
0.0,258052,2
7.98636667842146,1140469,2
6.43625165832592,72196,2
7.895655452363735,143932,2
7.894757569800982,75177,2
7.983235810447697,10353654,2
7.992005082197151,3456480,2
6.5052093184015,1182724,2
7.99013645631913,1164996,2
7.980471382658235,10125828,2
7.8358698742783455,135800,2
7.962923940670369,20782,2
7.679503637760103,3338529,2
7.971578638983649,327589,2
6.248848811278333,877572,2
7.9873459596459195,1264422,2
6.393072054025715,99332,2
7.9617192287871115,89641,2
7.977680085088034,21019,2
7.986502809536301,1775262,2
7.9678003912694475,2693722,2
6.029543246708318,6924804,2
7.984787863961601,1186700,2
7.100345175089649,202244,2
7.765882463062034,248256,2
7.982630098014751,41348,2
7.990327922632582,390390,2
7.757753261416722,245187,2
6.066291046507627,3889156,2
7.984121023936591,1281585,2
5.743889579423868,76804,2
7.997695702835211,87820,3
7.9984563320896225,97114,3
7.992277253163411,25743,3
7.999852077247575,1461761,3
7.999493963805819,362365,3
7.997320308759659,78092,3
7.990667666819415,21069,3
7.996304662055255,44812,3
7.9999064095521595,1800081,3
7.998039524530727,91541,3
7.999927760207249,2298832,3
7.999782339183682,790929,3
7.999719690626081,700172,3
7.999855640876606,1188584,3
7.999271247888784,275724,3
7.996488139253604,50866,3
7.997771587074679,83794,3
7.999864407634409,1363266,3
7.987258919349302,15376447,3
7.999356966393415,257804,3
7.999840763678354,1140221,3
7.9972696141460435,71948,3
7.998746876374218,143684,3
7.997658326284098,74929,3
7.999982285952883,10353406,3
7.999953545354158,3456233,3
7.9998465044499865,1182476,3
7.999839887436048,1164748,3
7.99997933509954,10125580,3
7.998705035878854,135552,3
7.99001754930475,20534,3
7.999956846736051,3338281,3
7.999375574549527,327341,3
7.999820485237107,877324,3
7.999855820993513,1264174,3
7.998183753577212,99084,3
7.997724900093741,89393,3
7.990950405929782,20771,3
7.999882113715753,1775014,3
7.9999372251804886,2693474,3
7.999975187992486,6924556,3
7.999846048784456,1186452,3
7.99905454194121,201996,3
7.9990875768183205,248008,3
7.995514611426642,41100,3
7.999580707815963,390142,3
7.999319106237077,244939,3
7.999954047281035,3888908,3
7.999869227369681,1281337,3
7.997667601920309,76556,3
7.991975957174539,25726,4
7.997980354613178,91524,4
7.997490478947891,83777,4
7.997586897337353,74912,4
7.989331748268961,20517,4
7.991858944131157,20754,4
7.995246911513594,41083,4
7.996014095669338,50251,4
7.9956160140958055,44964,4
7.993299149117503,26280,4
7.9988971604849874,169077,4
7.99854521934576,140914,4
7.998680444006834,123652,4
7.9904000174647125,18671,4
7.99417373986052,32742,4
7.995620445008821,45888,4
7.999096133976132,195899,4
7.984836191590073,11214,4
7.988279747446631,13810,4
7.986150534823189,13214,4
7.9850981552135085,14807,4
7.976932271362767,8221,4
7.972156476760675,6387,4
7.991660167648621,21121,4
7.990068091734831,19543,4
7.991633068939718,20128,4
